Barbecued Chicken,Red Peppers,Green Peppers,Tomatoes,Red Onions,Barbecue Sauce,Chicken,Artichoke,Spinach,Garlic,Jalapeno Peppers,Fontina Cheese,Gouda Cheese,Mushrooms,Asiago Cheese,Alfredo Sauce,Pesto Sauce,Corn,Cilantro,Chipotle Sauce,Pineapple,Thai Sweet Chilli Sauce,Bacon,Pepperoni,Italian Sausage,Chorizo Sausage,Sliced Ham,Mozzarella Cheese,Capocollo,Goat Cheese,Oregano,Anchovies,Green Olives,Kalamata Olives,Feta Cheese,Beef Chuck Roast,Brie Carre Cheese,Prosciutto,Caramelized Onions,Pears,Thyme,ï¿½Nduja Salami,Pancetta,Friggitello Peppers,Calabrese Salami,Genoa Salami,Prosciutto di San Daniele,Arugula,Coarse Sicilian Salami,Luganega Sausage,Onions,Soppressata Salami,Artichokes,Peperoncini verdi,Provolone Cheese,Smoked Gouda Cheese,Romano Cheese,Blue Cheese,Ricotta Cheese,Gorgonzola Piccante Cheese,Parmigiano Reggiano Cheese,Eggplant,Zucchini,Sun-dried Tomatoes,Plum Tomatoes
16,102,29,165,113,16,61,23,66,175,47,28,23,50,10,2,18,25,25,25,36,15,15,43,2,2,21,65,47,31,16,5,34,23,39,12,3,3,3,3,3,5,5,5,12,6,5,5,13,13,13,5,39,15,6,6,6,6,16,16,16,9,14,14,9
37,211,65,368,271,37,127,40,131,380,82,55,40,111,39,13,31,43,43,43,60,34,47,113,13,13,26,146,96,44,12,19,97,51,64,27,6,6,6,6,6,11,11,11,36,16,19,19,30,30,30,16,76,33,28,28,28,28,27,27,27,8,29,26,15
45,216,78,334,228,45,118,27,114,295,71,44,27,119,36,9,25,45,45,45,74,45,43,113,17,17,30,122,77,46,18,15,71,25,48,4,2,2,2,2,2,13,13,13,16,17,16,16,27,27,27,18,70,28,15,15,15,15,18,18,18,9,26,23,12
43,214,74,353,243,43,107,42,126,391,97,53,42,105,32,5,29,55,55,55,60,27,37,105,10,10,34,151,93,59,24,23,68,27,53,15,1,1,1,1,1,12,12,12,11,24,13,13,27,27,27,12,69,36,22,22,22,22,44,44,44,8,28,22,8
43,208,67,346,215,43,131,39,114,349,78,48,39,81,32,6,35,40,40,40,70,44,30,92,11,11,26,121,86,47,18,13,70,31,46,18,6,6,6,6,6,13,13,13,22,18,11,11,30,30,30,9,61,29,17,17,17,17,34,34,34,10,24,14,5
40,227,71,385,299,40,121,31,109,400,83,41,31,108,34,13,28,53,53,53,64,33,53,121,23,23,32,157,94,53,23,28,87,64,80,47,5,5,5,5,5,10,10,10,30,12,14,14,22,22,22,11,64,30,31,31,31,31,36,36,36,9,26,17,9
26,205,54,372,239,26,118,28,122,374,84,33,28,82,41,6,43,57,57,57,82,35,37,115,13,13,48,159,90,53,16,17,65,53,57,30,3,3,3,3,3,15,15,15,17,20,15,15,23,23,23,6,86,38,13,13,13,13,46,46,46,8,26,27,10
34,210,58,334,225,34,125,29,79,316,78,46,29,96,22,8,23,49,49,49,79,52,51,121,19,19,28,149,83,49,16,15,77,34,44,22,2,2,2,2,2,11,11,11,26,9,21,21,31,31,31,17,60,34,11,11,11,11,34,34,34,6,12,16,7
27,192,53,306,250,27,110,25,104,323,84,37,25,102,40,14,21,60,60,60,64,26,36,101,14,14,39,156,65,32,11,19,64,40,56,20,5,5,5,5,5,14,14,14,19,15,15,15,17,17,17,12,55,21,26,26,26,26,35,35,35,9,28,14,9
26,167,52,266,183,26,101,24,78,259,61,34,24,80,21,3,14,38,38,38,79,49,43,106,18,18,31,115,65,32,10,13,66,31,39,14,1,1,1,1,1,4,4,4,24,10,3,3,25,25,25,10,47,22,15,15,15,15,31,31,31,3,12,15,10
